Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A553N9I1,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A553N9D0,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
K1Q9D5,58,,Zinc finger homeobox protein 3,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
Q1RLB9,58,751576,Transcription factor protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A401QDD9,58,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1J1J843,58,,"CLUMA_CG021013, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
B4R2F6,58,,GD24406,Drosophila simulans (Fruit fly),7240,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","imaginal disc-derived wing morphogenesis, nervous system development",Nucleus
A0A4Z2FFP3,58,,Zinc finger homeobox protein 3,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",multicellular organism development,Nucleus
A0A1D1V9N5,58,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
T1EKB0,58,20197010,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A177B7R3,58,,Uncharacterized protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
E4X0H0,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A6A4WFC1,58,,Zinc finger homeobox protein 3,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A077Z2H2,58,,Zinc finger homeobox protein 3,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A158R762,58,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3P6T085,58,,Uncharacterized protein,Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum),60516,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
M7BMG4,58,,LIM/homeobox protein Lhx8,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A4Z2GF75,58,,LIM/homeobox protein Lhx8,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",multicellular organism development,Nucleus
A0A2R8QQY9,48,,LIM homeobox 8b,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","forebrain neuron development, neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
F6P152,58,,Si:ch211-236k19.2,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","forebrain neuron development, neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A6J1TFL5,58,,LIM/homeobox protein Awh-like,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1J1I783,58,,"CLUMA_CG008913, isoform A",Clunio marinus,568069,"DNA binding, metal ion binding",nan,Nucleus
A0A5N5T1V3,58,,LIM/homeobox protein Awh,Armadillidium nasatum,96803,"DNA binding, metal ion binding",nan,Nucleus
V3ZZC7,58,20245109,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, metal ion binding",nan,Nucleus
A0A1S3JNH1,58,106174604,LIM/homeobox protein Awh,Lingula unguis,7574,"DNA binding, metal ion binding",nan,Nucleus
A0A183IJJ2,58,,Uncharacterized protein,Soboliphyme baturini,241478,"DNA binding, metal ion binding",nan,Nucleus
A0A1D1V9E8,58,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, metal ion binding",nan,Nucleus
A0A1Y3BKR6,58,,Arrowhead-like protein,Euroglyphus maynei (Mayne's house dust mite),6958,"DNA binding, metal ion binding",nan,Nucleus
E9FUD2,58,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A2A2K6Q9,58,,Uncharacterized protein,Diploscapter pachys,2018661,"DNA binding, metal ion binding",nan,Nucleus
G5EEA1,58,180672,LIM/homeobox protein lim-4,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","cell fate specification, neuron differentiation, regulation of transcription, DNA-templated, regulation of transcription by RNA polymerase II",Nucleus
A0A0N4XTE8,58,,LIM/homeobox protein Awh (inferred by orthology to a D. melanogaster protein),Nippostrongylus brasiliensis (Rat hookworm),27835,DNA binding,nan,Nucleus
A0A0M3K292,50,,LIM/homeobox protein Awh (inferred by orthology to a D. melanogaster protein),Anisakis simplex (Herring worm),6269,"DNA binding, metal ion binding",nan,Nucleus
A0A4X3NR80,50,,Lim-4,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, metal ion binding",nan,Nucleus
A0A0L8HIM1,58,,Homeobox domain-containing protein,Octopus bimaculoides (California two-spotted octopus),37653,DNA binding,nan,Nucleus
T1G8C6,47,20217323,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A2T7NLM6,58,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"DNA binding, metal ion binding",nan,Nucleus
K1RII0,58,105328655,LIM/homeobox protein Awh,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, metal ion binding",nan,Nucleus
A0A3Q0KNN8,58,,Putative lim/homeobox protein Awh (Protein arrowhead),Schistosoma mansoni (Blood fluke),6183,"DNA binding, metal ion binding",nan,Nucleus
A0A0R3WDI9,47,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,DNA binding,nan,Nucleus
A0A3P7LYV0,41,,Homeobox domain-containing protein,Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum),60516,DNA binding,nan,Nucleus
A0A3S1AUU5,58,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A6J8DJB6,58,,LHX6_8,Mytilus coruscus (Sea mussel),42192,"DNA binding, metal ion binding",nan,Nucleus
R7UAU5,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,DNA binding,nan,Nucleus
T1HA20,58,,Homeobox domain-containing protein,Rhodnius prolixus (Triatomid bug),13249,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4SBK3,58,,LIM/homeobox protein Lhx9,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A2A2LJY1,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4VAP6,68,,Uncharacterized protein,Enterobius vermicularis (Human pinworm),51028,"DNA binding, metal ion binding",nan,Nucleus
C3ZG20,58,,"LIM class homeodomain transcription factor, apterous subclass",Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1EKE7,58,20197047,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A0V0XM80,58,,LIM/homeobox protein Lhx9,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A0L8IH86,58,,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A3Q0KI86,58,,Putative lim homeobox protein,Schistosoma mansoni (Blood fluke),6183,"DNA binding, metal ion binding",nan,Nucleus
A0A443RKJ5,58,,LIM/homeobox protein Lhx9-like protein,Dinothrombium tinctorium,1965070,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E9HQZ7,58,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
F1R0M6,58,795283,LIM homeobox 2a,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A3P8JSU0,58,,Homeobox domain-containing protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4E0RRD9,58,,LIM/homeobox protein Lhx2,Fasciola hepatica (Liver fluke),6192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
R7TTU8,58,,Uncharacterized protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
T1KXH3,58,,Uncharacterized protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
B3RP90,58,6750643,Uncharacterized protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A0L8IAT7,47,,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"DNA binding, metal ion binding",nan,"Nucleus, Other locations"
B7QG23,55,,"Lim homeobox protein, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A226EGA1,47,,LIM/homeobox protein Lhx9,Folsomia candida (Springtail),158441,"DNA binding, metal ion binding",nan,Nucleus
A0A553NAZ2,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A553ND56,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A3M7T5K1,58,,LIM homeobox Lhx9,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A158R828,58,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A4S2LL17,58,,Uncharacterized protein,Opisthorchis felineus,147828,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A3P7D3F1,64,,Uncharacterized protein,Schistocephalus solidus (Tapeworm),70667,"DNA binding, metal ion binding",nan,Nucleus
A0A401Q658,58,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A4Z2EYM1,47,,Tenascin,Liparis tanakae (Tanaka's snailfish),230148,DNA binding,multicellular organism development,"Nucleus, Other locations"
A0A0R3W3N7,58,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
E4XWD1,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A177B8Q2,58,,Homeobox domain-containing protein,Intoshia linei,1819745,DNA binding,nan,Nucleus
A0A4Z2GWV0,58,,Zinc finger homeobox protein 4,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",multicellular organism development,Nucleus
R7U2Q3,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0D2X0Y4,58,,Homeobox domain-containing protein,Capsaspora owczarzaki (strain ATCC 30864),595528,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G9UCI9,46,,Homeobox domain protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1V9XK82,58,,LIM/homeobox protein Lhx3-like,Tropilaelaps mercedesae,418985,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4XF11,58,,Uncharacterized protein,,,nan,nan,nan
A0A3S1BRV2,58,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A0R3W9A7,58,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A5K4FBF9,58,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A553NDS2,58,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A077YXR4,58,,Homeobox and LIM domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A3P6IZW6,58,,Uncharacterized protein,Enterobius vermicularis (Human pinworm),51028,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A2A2JZP2,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E4XJG2,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A3M7T330,58,,LIM homeobox Lhx3-like,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A5N5SY75,58,,LIM/homeobox protein Lhx3,Armadillidium nasatum,96803,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
F1LZ08,58,,LIM homeobox 4,Rattus norvegicus (Rat),10116,"DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, methyl-CpG binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding, sequence-specific DNA binding, sequence-specific double-stranded DNA binding","animal organ morphogenesis, medial motor column neuron differentiation, motor neuron axon guidance, negative regulation of apoptotic process, neuron differentiation, placenta development, positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II",Nucleus
A0A443RJ64,51,,LIM/homeobox protein Lhx3-like isoform X2,Dinothrombium tinctorium,1965070,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A1D1VQ98,47,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, metal ion binding",nan,Nucleus
E7F0K1,53,,LIM homeobox 3,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A1X7UW97,58,,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"acyl-CoA dehydrogenase activity, DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, flavin adenine dinucleotide binding",nan,Nucleus
A0A444V6B9,58,,LIM/homeobox protein Lhx5,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A5K4F0W4,58,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
A0A2B4RLR2,58,,LIM/homeobox protein Lhx1,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
H2XYZ0,58,,Uncharacterized protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding","neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
E4XDF6,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, metal ion binding",nan,Nucleus
