Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A1S3JYD8,58,106177173,homeobox protein ceh-30 isoform X2,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A553NPB9,58,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1V9WY98,55,,Homeobox domain-containing protein,Tropilaelaps mercedesae,418985,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3YJJ6,57,,Homeobox protein-like protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","regulation of transcription by RNA polymerase II, transcription by RNA polymerase II",Nucleus
A7SA96,57,5510986,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B3RUB8,58,6752553,Arx1,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V3ZQ03,57,20251989,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3S1BKK6,57,,Homeobox domain-containing protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8CQP8,57,,Homeobox domain-containing protein,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K1QG81,57,,Aristaless-related homeobox protein,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2T7NBR8,58,,Homeobox domain-containing protein,Pomacea canaliculata (Golden apple snail),400727,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E9G6Q4,58,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
V3Z594,58,20252361,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A444V2P8,58,,Aristaless-related homeobox protein,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1V9Y306,58,,Retinal homeobox protein Rx3-like,Tropilaelaps mercedesae,418985,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1D2M3G2,58,,Homeobox protein aristaless,Orchesella cincta (Springtail),48709,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A433TIL1,58,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J1T1H8,58,,homeobox protein aristaless-like 4,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A158P2X2,58,105627457,Homeobox domain-containing protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q9XZU0,58,33239,FI01102p,Drosophila melanogaster (Fruit fly),7227,"DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II-specific, protein homodimerization activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","compound eye photoreceptor development, ocellus photoreceptor cell development, photoreceptor cell development, positive regulation of transcription, DNA-templated, positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II, rhabdomere development",Nucleus
A0A1J1HN77,58,,"CLUMA_CG003239, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4C1SGE1,58,,Aristaless homeobox protein,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
R7VLA1,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4U5NI75,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,"Nucleus, Other locations"
Q21836,58,181302,Homeobox domain-containing protein,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A0N4UCC0,58,,Homeobox domain-containing protein,Dracunculus medinensis (Guinea worm),318479,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E4WQK8,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1X7VQA7,58,100635424,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1K6M6,58,107361439,Uncharacterized protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A423SSZ0,58,,Putative homeobox protein aristaless-like,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3ZRE1,58,,Homeobox domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
V4B1Z7,58,20252851,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1D1V810,58,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
H9JD74,47,,Homeobox domain-containing protein,Bombyx mori (Silk moth),7091,DNA binding,nan,Nucleus
A0A1X7UKB5,58,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6G0UM03,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4U5NJ45,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
R7UG11,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M0JHY3,58,,Uncharacterized protein,Hirundo rustica rustica,333673,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
R4GH34,58,,ALX homeobox 3,Gallus gallus (Chicken),9031,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","embryonic cranial skeleton morphogenesis, embryonic forelimb morphogenesis, embryonic hindlimb morphogenesis, pattern specification process, regulation of apoptotic process, regulation of transcription by RNA polymerase II",Nucleus
A0A3M7RKV3,58,,Aristaless-like homeobox,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G8KGF7,49,,Alx1,Stichopus japonicus (Sea cucumber),307972,DNA binding,nan,"Nucleus, Other locations"
A0A0N4U3A6,58,,Homeobox domain-containing protein,Dracunculus medinensis (Guinea worm),318479,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4U8UQC0,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0B2V2C5,58,,TBC1 domain family member 2B,Toxocara canis (Canine roundworm),6265,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, GTPase activator activity",positive regulation of GTPase activity,Nucleus
A0A5S6PWE8,58,6103486,Bm2114,Brugia malayi (Filarial nematode worm),6279,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3P6SMY1,50,,Homeobox domain-containing protein,Gongylonema pulchrum,637853,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V3ZUI4,58,20252468,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1X7V0T7,58,100637124,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1G4S8,58,20216076,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
V3ZSX8,58,20252460,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B3S8D6,58,6757629,HBN-paired class homeobox protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J1T1T3,58,,retinal homeobox protein Rx1-like,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B3RUC1,58,6752555,Arx2,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7RMS9,58,5519311,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E0VGG9,58,8239997,"Homeobox protein OTX2, putative",Pediculus humanus subsp. corporis (Body louse),121224,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q5TSB7,58,3292406,AGAP012501-PA,Anopheles gambiae (African malaria mosquito),7165,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
T1J2Z1,58,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1J1J4S5,58,,"CLUMA_CG018998, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J1RWV8,58,,dorsal root ganglia homeobox protein-like,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,DNA binding,nan,Nucleus
T1G9W1,49,,Homeobox domain-containing protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,DNA binding,nan,Nucleus
A0A1D2NED9,58,,Dorsal root ganglia homeobox protein,Orchesella cincta (Springtail),48709,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A226E0D8,58,,Dorsal root ganglia homeobox protein,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
N1PB35,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G8JI44,58,,Putative dorsal root ganglia homeobox protein-like,Stichopus japonicus (Sea cucumber),307972,DNA binding,nan,Nucleus
Q19AW1,58,751096,Phox2,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2A2L610,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183CWZ3,58,,Homeobox domain-containing protein,Gongylonema pulchrum,637853,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A016WIY9,63,,Homeobox domain-containing protein,Ancylostoma ceylanicum,53326,DNA binding,nan,Nucleus
A0A3M7Q8E7,58,,Paired mesoderm homeobox 2A-like,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
J9LXA6,58,100570786,Homeobox domain-containing protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y3AM40,47,,Homeobox domain-containing protein,Euroglyphus maynei (Mayne's house dust mite),6958,DNA binding,nan,Nucleus
T1JVW3,47,,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,DNA binding,nan,Nucleus
B4QB14,58,6735957,GD25001,Drosophila simulans (Fruit fly),7240,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A077ZAP0,58,,Homeobox protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M7PMJ9,58,,Paired mesoderm homeobox 2A,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4X3NRS2,54,,Ceh-17,Pristionchus pacificus (Parasitic nematode),54126,DNA binding,nan,Nucleus
B8A4X8,58,795258,Paired-like homeobox 2Ba,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","enteric nervous system development, regulation of transcription by RNA polymerase II",Nucleus
R7VLQ3,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3Y5F3,58,,Retinal homeobox protein-like protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
K1QC82,58,,Aristaless-related homeobox protein,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,"Nucleus, Other locations"
A0A0L8HB70,47,,Homeobox domain-containing protein,Octopus bimaculoides (California two-spotted octopus),37653,DNA binding,nan,Nucleus
A0A210R1D0,47,,Retinal homeobox protein Rx1,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,DNA binding,nan,Nucleus
A0A1X7UM72,58,100640121,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E9HTH0,58,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","regulation of transcription by RNA polymerase II, transcription by RNA polymerase II",Nucleus
A0A1D1VTE1,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",transcription by RNA polymerase II,Nucleus
A0A077ZF97,47,,Homeobox domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity",transcription by RNA polymerase II,Nucleus
A0A4U5P9W0,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",transcription by RNA polymerase II,Nucleus
