,blue,red,orange,green
"inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity",,,0.0008207934336525308,
"inositol-1,4,5-trisphosphate 5-phosphatase activity",,,0.0008207934336525308,
inositol-polyphosphate 5-phosphatase activity,,,0.0008207934336525308,
intramolecular transferase activity,,,0.00027359781121751026,
phosphotransferases,,,0.00027359781121751026,
adenyl-nucleotide exchange factor activity,,,0.00027359781121751026,
RNA-directed DNA polymerase activity,,,0.00027359781121751026,
G protein-coupled GABA receptor activity,,,0.00027359781121751026,
thiosulfate sulfurtransferase activity,,,0.00027359781121751026,
repressing transcription factor binding,,,0.00027359781121751026,
sodium channel activity,,,0.00027359781121751026,
RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity,,,0.00027359781121751026,
hormone activity,,,0.00027359781121751026,
histone deacetylase binding,,,0.00027359781121751026,
potassium channel activity,,,0.00027359781121751026,
acting on carbon-nitrogen (but not peptide) bonds,,,0.00027359781121751026,
in linear amidines,,,0.00027359781121751026,
heme binding,,,0.00027359781121751026,
oxygen binding,,,0.00027359781121751026,
glucuronosyltransferase activity,,,0.00027359781121751026,
structural constituent of nuclear pore,,,,0.00040016006402561027
methyl-CpG binding,,,,0.00040016006402561027
acyl-CoA dehydrogenase activity,,,,0.00040016006402561027
flavin adenine dinucleotide binding,,,,0.00040016006402561027
metalloendopeptidase activity,,,,0.00040016006402561027
protein tyrosine/serine/threonine phosphatase activity,,,,0.00040016006402561027
protein tyrosine phosphatase activity,,,,0.00040016006402561027
"mannan endo-1,4-beta-mannosidase activity",,,,0.00040016006402561027
pseudouridine synthase activity,,,,0.00040016006402561027
protein tyrosine kinase activity,,,,0.00040016006402561027
metalloaminopeptidase activity,,,,0.00040016006402561027
nuclear receptor activity,,,,0.00040016006402561027
heat shock protein binding,,,,0.00040016006402561027
unfolded protein binding,,,,0.00040016006402561027
